Name,ctrl_1,ctrl_2,ctrl_3,ctrl_4,sp1A,sp1B1,sp1B2,sp2A1,sp2A2,sp2B1,sp2B2,sp3A,sp4A1,sp4A2,sp4B,sp4C1,sp4C2,sp4D,sp5A,sp5B,sp5C,sp6A,clin1,clin2
PA0151,739,801,812,1510,33,2453,2525,771,1135,1221,1259,318,1484,384,4,746,16,587,1005,4079,1037,12413,2273,303
PA0152,1753,1541,1618,1837,20,1615,1651,727,1330,1046,1047,530,1027,221,7,1831,7,731,1695,1442,1384,3866,1422,126
PA0153,326,380,360,283,8,266,273,166,207,153,175,793,236,108,3,348,10,179,429,1275,305,3119,583,73
PA0154,889,783,914,660,12,804,815,266,599,444,450,445,390,62,4,724,17,149,836,944,727,2298,1129,73
PA0155,615,640,566,347,9,317,273,264,486,352,345,256,208,107,1,280,10,120,427,1348,296,3464,496,107
PA0156,8218,8457,7888,4425,19,4069,3560,1558,3500,2703,2643,13021,2389,335,82,5767,29,1964,5426,2218,5726,7193,4683,262
PA0157,3930,4244,3910,2120,14,2046,1732,783,1741,1209,1203,4409,1047,202,30,2101,25,427,2158,2073,2413,6393,2673,220
PA0158,13559,13733,13367,3839,42,7137,5562,2287,5397,3967,3525,2390,2270,345,34,4993,57,622,5178,5244,7468,13476,7213,577
PA0159,2165,2166,2307,1863,12,1697,1497,748,1440,995,928,2630,1095,155,11,1661,24,560,2141,1519,1937,3684,2445,143
PA0160,243,261,272,116,5,221,237,72,125,78,85,134,1063,223,7,6085,7,79,16391,592,385,499,323,25
PA0161,125,77,151,700,6,2279,2599,508,1402,1158,1230,264,12060,2149,9,10117,8,1980,17722,1066,2650,345,696,60
PA0162,1069,1067,1087,1495,14,1389,1368,725,1166,832,880,569,3808,788,4,1606,32,1192,3123,2769,1122,5368,1384,188
PA0163,543,531,633,1279,8,945,937,400,772,592,574,1905,1299,160,12,772,6,448,1103,1426,1010,3666,1134,89
PA0164,1706,1818,1940,1491,23,1238,1256,622,956,671,717,1668,5003,188,8,1149,14,442,1804,3183,1113,7670,1505,207
PA0165,501,540,555,974,16,510,509,470,835,476,508,1487,4312,286,3,544,9,2448,726,1349,431,3232,676,132
PA0166,1345,1322,1252,889,16,1056,1048,495,680,593,523,459,504,142,3,1137,10,342,872,2592,775,6522,1480,184
PA0167,1539,1281,1451,1662,19,2082,1926,890,1828,1321,1338,3835,872,185,21,1158,44,309,1533,1433,2280,3153,1883,152
PA0168,456,430,494,1621,16,2269,1919,813,1498,959,1063,190,274,59,4,618,12,51,974,1039,1145,2514,1440,102
PA0169,444,486,442,727,7,884,737,280,502,403,407,167,197,39,4,410,7,77,559,1052,517,2758,935,81
PA0170,108,123,132,179,5,166,125,93,99,82,75,46,38,25,0,100,2,31,148,570,116,1304,253,58
PA0171,116,131,143,193,4,142,117,109,132,86,76,97,104,29,0,143,3,74,216,840,148,1989,310,74
PA0172,937,1045,1039,1127,25,1007,856,489,559,474,497,573,468,105,5,983,17,272,1166,3760,907,9088,1857,255
PA0173,3131,2689,3194,488,10,312,297,235,415,339,303,118,224,37,3,464,12,75,525,1816,569,4332,375,122
