Locus,Name,LocusName,MedianSputumEffect,MedianSputumP,sp1.Est,sp2.Est,sp3.Est,sp4.Est,sp5.Est,sp6.Est,sp1.FDR,sp2.FDR,sp3.FDR,sp4.FDR,sp5.FDR,sp6.FDR,sp1.P,sp2.P,sp3.P,sp4.P,sp5.P,sp6.P
PA5342,,PA5342,0.788533206,0.004373015,0.843860784,0.733205628,1.494252132,0.509861455,0.703756954,1.299413094,0.013696928,0.009348621,0.000171333,0.106603579,0.024249543,0.001448565,0.004499938,0.004246092,2.54E-05,0.059587995,0.009303177,0.000267443
PA2044,,PA2044,0.788374068,0.005737752,1.384868298,1.61007872,-0.662389323,0.608593149,0.940294456,0.636453681,1.79E-06,8.17E-11,0.126004366,0.025524802,0.000498717,0.09692742,1.51E-07,6.89E-12,0.061166739,0.011378202,9.73E-05,0.05138599
PA4784,,PA4784,0.787777165,0.186095467,-0.607627807,0.356782644,1.636765534,-0.211063631,1.218771686,2.146070663,0.47688216,0.587406218,0.061895642,0.787781045,0.065595813,0.009667893,0.3407975,0.498955089,0.025559924,0.707454477,0.031393433,0.002955681
PA3998,,PA3998,0.787460542,0.112063148,1.059579743,1.486426146,-0.311606011,0.380454423,1.164173551,0.51534134,0.006545953,4.15E-06,0.610157535,0.317558866,0.000948362,0.320725266,0.00192082,8.84E-07,0.48829736,0.222205476,0.000206383,0.22582481
PA3241,,PA3241,0.787208646,0.026340856,0.811122851,0.763294441,-1.129584906,0.023900268,0.996707976,1.529241199,0.075628529,0.038324221,0.074638943,0.968291747,0.012528503,0.003313569,0.033646507,0.020523304,0.032158407,0.945010601,0.004305161,0.000778671
PA5567,,PA5567,0.787088475,0.005071836,0.69418277,0.870741765,2.536435221,1.451009094,0.703435184,-0.302000204,0.048118264,0.001874074,1.11E-11,9.64E-07,0.024501742,0.54522353,0.019811416,0.000726541,2.53E-13,1.31E-07,0.009417132,0.43642761
PA3612,,PA3612,0.786395456,0.083164962,0.325447223,0.907367736,0.918972293,1.256273273,0.665423175,-0.588366263,0.58358504,0.027950671,0.153860472,0.004048395,0.151509398,0.404016129,0.449927883,0.014402101,0.078955427,0.001407489,0.087374497,0.300367283
PA4923,,PA4923,0.786099089,0.038507703,0.089133906,0.39150023,1.032602125,1.241121188,0.581357964,0.990840214,0.87350666,0.249907341,0.034615485,0.000291736,0.111646448,0.038020336,0.795969558,0.179338561,0.01266035,7.32E-05,0.060447401,0.016568005
PA2230,,PA2230,0.786092925,0.040344825,0.390910862,1.06181672,1.221275913,0.964775853,0.607409997,-0.792511265,0.430775814,0.002749997,0.020710011,0.011893716,0.131874634,0.186574756,0.298348618,0.001104626,0.006767645,0.00478003,0.073922004,0.115193049
PA4486,,PA4486,0.786019881,0.023382021,0.742140421,0.829899342,1.275134785,0.181454457,1.051464832,0.733788766,0.085576331,0.015879861,0.011077914,0.681375621,0.004797482,0.161558796,0.039094443,0.007669599,0.003223444,0.581134898,0.001380813,0.096345523
