Locus,Name,LocusName,MedianSputumEffect,MedianSputumP,sp1.Est,sp2.Est,sp3.Est,sp4.Est,sp5.Est,sp6.Est,sp1.FDR,sp2.FDR,sp3.FDR,sp4.FDR,sp5.FDR,sp6.FDR,sp1.P,sp2.P,sp3.P,sp4.P,sp5.P,sp6.P
PA1609,fabB,fabB,0.195708214,0.300079927,0.149950941,1.224041816,-0.565745142,0.241465488,0.296403345,-0.863705096,0.782738769,0.000326574,0.35443665,0.567966825,0.476398818,0.132909019,0.679969864,0.000104369,0.236213899,0.459516859,0.363945955,0.075923949
PA3927,,PA3927,0.195612982,0.619340662,0.139729737,0.214667593,-0.450384849,0.176558372,1.159858637,2.317692805,0.886232823,0.745612072,0.681189393,0.818377188,0.069132546,0.00353794,0.816203191,0.672139285,0.566542038,0.744122887,0.03354712,0.000851887
PA5039,aroK,aroK,0.195395529,0.552580337,0.253109328,0.13768173,0.339012571,0.356796963,-0.68571765,-2.594095952,0.756987811,0.830181209,0.730773275,0.585054905,0.265796759,0.007290237,0.650639433,0.770154066,0.626890096,0.478270577,0.174414546,0.002082925
PA3678,mexL,mexL,0.194268156,0.2748317,0.056777712,0.136694278,-1.056190769,1.109517076,0.60915413,0.251842034,0.911479488,0.684066067,0.035378876,0.000361658,0.063781167,0.622972684,0.856203173,0.603750131,0.013036632,9.26E-05,0.030446608,0.519216791
PA3965,,PA3965,0.194238501,0.218014736,-0.615676979,-0.356637952,0.385194365,0.023734204,0.364742798,0.936425668,0.146477484,0.28365584,0.486201336,0.963963955,0.331023296,0.046031783,0.074424911,0.207987733,0.357952721,0.937741699,0.228041739,0.020883145
PA3733,,PA3733,0.19423669,0.52413791,0.06715324,0.245571357,0.178761318,0.209712061,0.444935237,0.065115207,0.886911302,0.405042748,0.729721917,0.532019152,0.153998452,0.90626375,0.817956984,0.317608107,0.625336435,0.422939385,0.089215319,0.859503212
PA1290,,PA1290,0.193983509,0.057845108,-0.439663947,-1.371510855,-1.323906865,1.852026281,1.623898309,0.827630965,0.602508452,0.013166285,0.198119509,0.002521984,0.009668225,0.355241244,0.469224884,0.006234229,0.109455987,0.000824137,0.003144124,0.254579934
PA0143,nuh,nuh,0.19358404,0.390526952,0.514499825,-0.196315571,1.541549354,-0.513142284,0.120887115,0.266280965,0.3323979,0.654881352,0.006158234,0.253840924,0.817659072,0.699494745,0.210417555,0.570636348,0.001598461,0.167990343,0.744559214,0.606254333
PA4596,esrC,esrC,0.19346509,0.255975724,-0.378809946,0.46605197,-0.920705765,-0.07912179,1.203411507,2.314191862,0.618758694,0.39304739,0.318802097,0.914802299,0.033115852,0.001134946,0.48736206,0.306615593,0.205335854,0.870330513,0.013611324,0.000188826
PA3609,potC,potC,0.193339994,0.360654579,-0.105539574,0.492219562,-1.59550312,-0.158529607,2.287880616,3.125264282,0.947328605,0.602668377,0.320361454,0.895570993,0.016731398,0.007517631,0.906170417,0.514631604,0.206677555,0.843389601,0.00603129,0.002163727
PA0448,gcdR,gcdR,0.193310289,0.337327096,0.33349039,0.149885778,-0.91305734,0.236734799,0.020036731,0.750510473,0.410940141,0.650034446,0.0681714,0.50524587,0.968718599,0.089088825,0.279537379,0.565614388,0.028725787,0.395116813,0.942537016,0.04640499
PA3024,,PA3024,0.192896801,0.303389318,-0.002315898,-0.277036367,0.388109499,-0.879269173,0.448301085,1.049020226,1,0.492325539,0.551449799,0.030438177,0.304379629,0.056718541,0.99532566,0.401170143,0.427862331,0.013915663,0.205608493,0.026726796
PA2704,,PA2704,0.192467844,0.54928994,0.037992358,0.11169526,2.272372687,-0.028522991,0.273240428,1.084440341,0.952767928,0.777391876,4.20E-07,0.957973539,0.502948534,0.026657606,0.914811045,0.708084211,3.06E-08,0.928661506,0.390495668,0.010712673
PA0119,,PA0119,0.191523164,0.340457166,0.272200841,0.003509094,-1.088951895,0.110845487,0.39085131,1.226137574,0.584500917,1,0.065586448,0.809303598,0.333133543,0.01343349,0.451146899,0.990801697,0.027337279,0.733458017,0.229767432,0.004552487
PA3543,algK,algK,0.19026166,0.464004935,0.138398364,0.242124955,-0.69658541,0.112049362,1.175408413,2.385631517,0.874586896,0.677735628,0.459976847,0.875121562,0.039319281,0.000892642,0.798148799,0.595903035,0.332106836,0.817735893,0.016795916,0.00013645
PA0369,,PA0369,0.18962838,0.220063386,0.343186925,0.305744853,-2.306005396,-1.109773734,0.073511907,1.125112341,0.564998748,0.499595518,0.001908423,0.013366583,0.904438051,0.065471827,0.431136286,0.408321574,0.00039957,0.005472839,0.851591065,0.031805198
PA5088,,PA5088,0.188457852,0.415013325,-0.507669563,-0.24170737,0.530244671,0.154778451,0.222137252,0.555668679,0.379566153,0.595742044,0.44929426,0.775129831,0.668424647,0.401168854,0.2516008,0.507604005,0.322422644,0.69255633,0.569064226,0.297532393
PA5478,,PA5478,0.188437771,0.50744246,0.265378504,0.163967949,0.668793009,0.062856783,0.130990488,0.212907593,0.469111248,0.568489557,0.101569941,0.862351017,0.692403156,0.638510221,0.332940726,0.478796311,0.046845525,0.799089746,0.595397198,0.536088609
PA5476,citA,citA,0.187507037,0.15376161,0.687227247,-0.470804004,-1.586224974,-0.312213172,0.79208014,0.689009394,0.202258965,0.269977835,0.028065999,0.534338694,0.086326331,0.287040175,0.111713257,0.196110611,0.009752664,0.425557914,0.044011581,0.195809962
PA0957,,PA0957,0.186490415,0.062570751,0.157945995,0.215034836,1.810719517,0.903936662,-0.700227244,-1.795482507,0.823266914,0.665838475,0.003621351,0.060786128,0.160896715,0.018059853,0.733160662,0.582053605,0.00085227,0.031054479,0.094087023,0.006579897
PA3034,,PA3034,0.186220837,0.529481102,-0.091759811,0.123357752,0.249083922,0.745663587,0.275574618,-1.110954906,0.887281687,0.78152545,0.724130333,0.073016204,0.553044473,0.07981192,0.818921445,0.713083681,0.617633102,0.038173938,0.441329102,0.040522268
PA1372,,PA1372,0.186056582,0.679677952,0.163835992,0.214029479,0.208277173,0.151532013,0.345749875,-1.516339842,0.835241238,0.698002601,0.83115442,0.815147425,0.561412015,0.068486765,0.748023172,0.618622874,0.744800714,0.74073303,0.450610609,0.033539207
PA4373,,PA4373,0.185301827,0.605999061,1.017190764,1.058913743,0.257895141,0.112708514,0.107057243,0.032019015,0.004557742,0.000363806,0.637866561,0.77637954,0.789442521,0.961925012,0.001260618,0.0001178,0.518052703,0.693945419,0.70839235,0.936772451
PA2354,,PA2354,0.184091357,0.784067232,0.216057369,0.049284504,0.152125346,-0.150023897,1.45903449,3.179549015,0.842057319,0.961870501,0.916591601,0.871342295,0.049721998,0.000566519,0.756751241,0.933173066,0.862702835,0.811383223,0.0223653,7.40E-05
PA3095,xcpZ,xcpZ,0.183765635,0.050243814,0.867964476,0.61922882,-0.999121873,-0.160884613,0.480668064,-0.113136794,0.013337337,0.034261612,0.043745964,0.663700234,0.144423125,0.837484722,0.004365415,0.01808686,0.016773412,0.561547706,0.082400769,0.773255023
PA1600,,PA1600,0.183566267,0.253972533,-0.640858155,-0.317830249,-1.40376942,0.684962783,1.677666362,2.476859823,0.546715367,0.699056254,0.298276256,0.425258742,0.040201021,0.014709697,0.412771062,0.619679386,0.187247134,0.320697932,0.017236064,0.005085662
PA5323,argB,argB,0.183292241,0.207902752,0.852925809,0.650939904,-0.127375165,-0.29006574,0.402571996,-0.035987515,0.01221979,0.021278999,0.826365416,0.383175795,0.215405446,0.955113813,0.003961031,0.010620827,0.739494078,0.281564944,0.134240559,0.924541609
PA1985,pqqA,pqqA,0.182814212,0.40082627,0.090084173,-1.541794811,2.252383733,0.27554425,0.45506423,-4.069416204,0.965891873,0.240118293,0.092953274,0.846444297,0.722876415,0.085403098,0.933033134,0.171133799,0.042088355,0.781378905,0.630518741,0.044230351
PA0274,,PA0274,0.182109928,0.077806217,-0.943648427,-0.994784367,2.163989013,-0.604024423,0.968244279,2.586888407,0.257709278,0.102732982,0.011430554,0.397976297,0.158314309,0.001983574,0.152554123,0.063230005,0.003348121,0.295234435,0.092382428,0.000406949
PA1230,,PA1230,0.181868822,0.56914087,-0.578217029,0.173443898,-0.970919063,0.190293746,2.778540333,4.88250071,0.726509731,0.900456697,0.645398284,0.901420796,0.021238557,0.000861939,0.612267414,0.854785938,0.526014326,0.850638754,0.007939299,0.000130698
PA0818,,PA0818,0.181215177,0.545903081,0.171636448,0.190793906,1.072848804,-0.35239689,0.338920417,-0.142491946,0.818571752,0.722877552,0.140586792,0.539199345,0.556560004,0.875689581,0.727922616,0.6470122,0.070392088,0.430469958,0.444793962,0.821131876
PA5189,,PA5189,0.181137093,0.271664726,-0.171051514,-0.799069595,0.445577102,-0.083302916,0.457731057,1.136059022,0.766805247,0.027165913,0.481914804,0.871342295,0.284832181,0.033837938,0.661837171,0.013950063,0.353924549,0.811428782,0.189404903,0.014389141
PA0600,agtS,agtS,0.180397456,0.496220687,0.057450477,0.045202595,0.895755864,0.092606038,0.268188874,0.484870829,0.899683571,0.892824264,0.023128323,0.790314711,0.390033739,0.239732741,0.836367827,0.846443783,0.007728383,0.710423297,0.282018077,0.157059025
PA0103,,PA0103,0.178276342,0.356335162,0.285175738,-0.108522245,-0.929786622,0.071376947,1.165203351,2.288313217,0.679395113,0.845183662,0.260814992,0.914802299,0.022212401,0.000416683,0.556584133,0.790301606,0.156086192,0.870239034,0.008365709,4.86E-05
PA1374,,PA1374,0.176502707,0.172813045,0.090875056,0.262130359,-0.617026108,0.849286177,0.478029952,-0.817167255,0.87763086,0.484788229,0.316278831,0.021885299,0.225222266,0.153706233,0.802466968,0.393984104,0.203488627,0.009548412,0.142137464,0.090799435
PA2666,,PA2666,0.176088284,0.391562728,-0.646795098,-0.175281315,0.026759519,0.32541705,0.526188668,0.450471559,0.237213253,0.701065149,0.98472151,0.503867456,0.257147655,0.497833246,0.136507942,0.622690544,0.96035406,0.393950424,0.167340032,0.389175031
PA1160,,PA1160,0.175519939,0.433123301,0.179354874,0.171685004,1.729744616,0.619274091,-0.17690524,-1.934052363,0.81551172,0.760123863,0.012790173,0.265117719,0.782835798,0.021738045,0.724628964,0.689020665,0.003852716,0.177225937,0.69889184,0.008330999
PA3538,,PA3538,0.175403184,0.46078316,0.276209052,0.662450212,-0.102852766,0.257374638,0.093431731,-0.173402678,0.438329671,0.008871911,0.847242038,0.391345147,0.78355729,0.707504416,0.305324759,0.004001886,0.765907991,0.289422333,0.700086024,0.616241561
PA0407,gshB,gshB,0.175071542,0.207094239,1.008228639,0.55264278,-0.202499695,0.684699295,-0.336055064,-1.626853223,0.133962472,0.323316209,0.854624959,0.259037168,0.606734467,0.075614147,0.067051767,0.242118333,0.776795422,0.172070144,0.5012108,0.037873425
PA2810,copS,copS,0.174442264,0.290665044,0.272075136,0.45034448,-0.68948452,-0.181710136,0.076809392,0.561389364,0.545881158,0.164473985,0.209978536,0.647972002,0.86022556,0.255392924,0.411949628,0.110034193,0.118403729,0.543805215,0.79696924,0.169380459
PA1395,,PA1395,0.174156783,0.620539919,0.554011481,0.156220322,-0.004884744,0.187131718,0.161181848,0.486250662,0.264766102,0.71669678,1,0.697949871,0.741324789,0.42156622,0.15759672,0.640348071,0.992278861,0.600731767,0.650383051,0.316877522
PA2298,,PA2298,0.173542257,0.141112974,-0.098196906,-0.049228305,-0.969628361,0.396312819,1.203511091,2.361097293,0.869804093,0.916028226,0.109267378,0.326887938,0.001384909,1.21E-06,0.79071705,0.873426001,0.051316164,0.230909784,0.000318155,2.81E-08
PA2600,,PA2600,0.173132688,0.543833738,-0.307460978,0.164827527,-0.479630823,0.18143785,0.8118044,2.091693865,0.700317302,0.789760375,0.627558193,0.793409332,0.172189734,0.004268584,0.581344478,0.722676482,0.506322999,0.714179794,0.102443524,0.001070517
PA2712,,PA2712,0.171757874,0.339484907,0.03694792,-0.385899083,1.606765201,0.62764606,-0.195951782,0.306567827,0.954214463,0.265486492,0.000649148,0.090064623,0.639260061,0.592360982,0.916998023,0.192335598,0.000115293,0.048936482,0.537409313,0.486634215
PA1662,clpV2,clpV2,0.17174277,0.107654232,0.029613705,1.304346309,-1.535978535,-0.758043983,0.313871835,0.683558242,0.972069118,0.000759131,0.023093728,0.077783503,0.507361782,0.260950081,0.94272621,0.000266722,0.00771277,0.04128068,0.395362788,0.174027783
PA2849,ohrR,ohrR,0.171685737,0.521469899,-0.890154824,-0.311553354,0.491673526,0.777133124,-0.148302051,0.507970017,0.284199841,0.640781632,0.64766466,0.260359304,0.857432976,0.617714964,0.172325456,0.555876379,0.52875551,0.173010215,0.793780089,0.514184288
PA3682,,PA3682,0.171588599,0.569542301,0.15255876,0.056253942,0.190618438,-0.280398572,0.654258468,1.646258921,0.799728484,0.911017715,0.798857852,0.545442779,0.124789636,0.002166095,0.7026382,0.867209563,0.704363259,0.436446402,0.069096402,0.000451618
PA4077,,PA4077,0.171249709,0.641733966,-0.110183244,-0.485270202,0.18027702,0.162222397,0.218092331,1.490358686,0.882481472,0.280891515,0.836901526,0.774546144,0.68917612,0.014181752,0.808915537,0.205319965,0.752006987,0.69189889,0.591569043,0.004853355
PA2222,,PA2222,0.169487538,0.593131763,0.363573109,0.308703972,-0.210830809,0.167954566,0.171020509,-1.618846734,0.608053167,0.56629844,0.834536096,0.794304649,0.790375064,0.053376632,0.47620211,0.475857657,0.749149198,0.715403906,0.710061417,0.024955309
PA5241,ppx,ppx,0.169169607,0.094958783,1.008927179,1.062394825,-1.280612582,-0.021172057,0.359511271,-0.753117081,0.033426083,0.006110365,0.057288713,0.974617258,0.440480683,0.251770542,0.012847161,0.002654116,0.023245262,0.954091798,0.328771686,0.166672304
PA1838,cysI,cysI,0.169122964,0.112444512,-0.889182612,-0.278779856,-0.988524498,0.734843358,0.879891996,0.617025785,0.148689231,0.580844285,0.227991324,0.155628424,0.087684661,0.403672485,0.07572765,0.492361864,0.131697696,0.093191327,0.044846816,0.300016092
PA1299,,PA1299,0.169062432,0.54214649,1.377035533,-0.331882088,0.326214213,0.720212339,0.01191065,-0.558459048,0.085675812,0.640912869,0.793961035,0.333399424,0.999205887,0.631142813,0.039169093,0.556102707,0.697955567,0.236504119,0.984300218,0.528190273
PA4281,sbcD,sbcD,0.168909889,0.595190435,-0.112848077,0.205739149,1.175059979,0.801851709,0.132080628,-0.128867902,0.843660328,0.591998215,0.021546335,0.032372469,0.773377409,0.844746203,0.75852437,0.503699862,0.007093879,0.014953376,0.686681008,0.782035139
PA3724,lasB,lasB,0.168846098,0.571102742,0.373023687,0.099101864,3.089642297,-0.457646363,0.238590332,-0.976108048,0.742629666,0.920119482,0.002517834,0.617445612,0.808686987,0.458880936,0.629762468,0.879426237,0.000556327,0.512443015,0.732331494,0.351566861
PA3285,,PA3285,0.168464194,0.054217375,0.91297412,0.598681063,-1.314133239,0.086537579,0.250390808,-1.167337838,0.049249008,0.121253936,0.04381682,0.870416597,0.590988644,0.06521222,0.020397974,0.076778554,0.016810033,0.808549499,0.483225008,0.031656195
PA5518,,PA5518,0.168434308,0.604246694,0.079636322,0.241050711,0.450017558,0.726871808,0.095817904,-0.067296226,0.894881871,0.528729428,0.449776252,0.056475087,0.838491025,0.926691145,0.82876301,0.436958034,0.322893611,0.028406037,0.771535353,0.885707262
PA3463,,PA3463,0.167138564,0.227479844,-0.623833927,-0.561383245,0.634307857,0.002210627,0.332066502,0.829449018,0.307386666,0.216412113,0.388208912,1,0.537112275,0.21636152,0.18999927,0.151693573,0.264960418,0.995774235,0.425246057,0.138178233
PA2839,,PA2839,0.166922311,0.270255407,-0.713059214,-0.390218362,1.518608936,-0.133957545,0.467802168,1.276793539,0.321651969,0.482861941,0.046706098,0.848747215,0.450210846,0.092629383,0.201469968,0.391763909,0.01817259,0.784399213,0.339040846,0.048736906
PA0907,alpA,alpA,0.166426512,0.11656378,-0.795167736,0.82316023,0.75795331,1.230573792,-0.425100286,-1.006012031,0.198986817,0.079028079,0.310397871,0.012719757,0.440045768,0.197735662,0.109620853,0.046656802,0.198451991,0.005170052,0.328219465,0.123506708
PA1373,fabF2,fabF2,0.166382557,0.510527102,0.180216169,0.152548944,0.090742761,0.777036321,0.245344863,-1.855804143,0.715168706,0.678152412,0.897108483,0.026486894,0.536347041,0.000968791,0.598065792,0.596626543,0.83374482,0.011862856,0.42442766,0.000152851
PA3854,,PA3854,0.16582755,0.466787727,0.131368991,0.200286108,2.1386709,0.530212424,-0.007684129,-0.424123879,0.823266914,0.623702181,1.47E-05,0.200257899,0.998128746,0.505026963,0.732828734,0.537447825,1.59E-06,0.126101323,0.982264658,0.396127629
PA2215,lyxD,lyxD,0.165030597,0.52834964,-0.468994889,0.152929476,0.177131719,-0.697939876,0.188889755,1.262320596,0.510061707,0.79223303,0.860834465,0.21424139,0.771003891,0.079355519,0.372565255,0.72563429,0.785296165,0.136448228,0.684134025,0.040267628
PA2813,,PA2813,0.164877063,0.149200084,0.065846458,0.309413725,1.595204228,0.263907669,-0.648872642,-1.275041767,0.90332257,0.352725059,0.000275224,0.482387347,0.062799604,0.014819343,0.842637421,0.268598461,4.38E-05,0.375124313,0.029801707,0.005128144
PA3097,xcpX,xcpX,0.164556569,0.289354829,0.356600874,0.028210648,-1.688802903,-1.057076278,0.30090249,0.47763922,0.440676419,0.955567297,0.003105391,0.002863655,0.451331403,0.372906485,0.307963057,0.923871576,0.000713401,0.000949861,0.340131916,0.2707466
PA0395,pilT,pilT,0.164443098,0.460500728,0.074139204,0.255231209,1.984174776,0.254746992,-0.303142802,-0.396982195,0.911983241,0.553977477,0.000236757,0.596099459,0.524763507,0.566198828,0.857405093,0.462684944,3.68E-05,0.491170052,0.412723977,0.458316512
PA0777,,PA0777,0.163977877,0.695426088,-0.368723077,0.008378947,0.151195753,0.176760001,1.872104248,2.997735414,0.724318768,1,0.918148589,0.846898784,0.012659833,0.001319262,0.608756457,0.988813576,0.865832264,0.782095718,0.004359177,0.000235004
PA4582,,PA4582,0.163335242,0.341234791,0.368421123,-0.3486345,-0.828308689,-0.041750639,0.393540224,1.106633484,0.543755029,0.441468464,0.274098206,0.950417667,0.440699127,0.078568731,0.409677139,0.353298735,0.167883949,0.917558369,0.329170847,0.039753186
PA1714,exsD,exsD,0.163103129,0.32194534,0.732265776,0.434375088,-0.068688651,0.096335358,0.229870901,-0.693778951,0.092460532,0.227175936,0.930102825,0.837605224,0.591017622,0.233003535,0.043147167,0.160434532,0.882765194,0.769103287,0.483456149,0.151423673
PA3542,alg44,alg44,0.162800487,0.651769226,-0.132603068,0.381897182,-0.056296208,-0.14338325,1.289193948,2.685780715,0.902893902,0.582902467,0.974019063,0.870817258,0.066655476,0.002001007,0.841887557,0.494311113,0.946668581,0.809227339,0.032040953,0.000411228
PA3084,,PA3084,0.162744238,0.25516786,0.120593219,0.783235312,-0.893582151,0.19339278,0.531240611,0.132095696,0.784558795,0.00442872,0.059403475,0.573152872,0.087759415,0.795733824,0.682387051,0.001860715,0.024343123,0.465422664,0.044913056,0.721299614
PA0304,spuH,spuH,0.161743531,0.128886125,0.639563605,0.541506599,0.56346303,-0.218019537,-0.301050866,-1.227433305,0.130502812,0.108906809,0.300769068,0.59281554,0.448653667,0.026020525,0.064873058,0.067851733,0.189920517,0.48721572,0.337317007,0.01037533
PA2005,hbcR,hbcR,0.160925208,0.375044572,0.303942903,-0.374616038,0.167161001,-0.055605295,0.154689415,1.286402485,0.368040017,0.133372109,0.717633684,0.871705867,0.613526849,0.000315739,0.24176444,0.085926468,0.610015007,0.812361377,0.508324703,3.32E-05
PA3561,fruK,fruK,0.160765954,0.067655614,-1.538967918,-1.83341225,-0.331310366,1.778599724,0.652842275,0.937466614,0.014172723,8.25E-05,0.724352036,0.00064176,0.245366574,0.20657053,0.004691077,2.31E-05,0.618076447,0.000175229,0.15786484,0.130620151
PA3510,,PA3510,0.160503017,0.217094863,-0.931555418,-0.918120383,0.877506864,-0.55650083,1.4118013,3.500639824,0.390035235,0.242324757,0.493383489,0.552196666,0.099400256,0.000857906,0.261058085,0.17313164,0.364885578,0.443529955,0.052561069,0.000128581
PA3107,metZ,metZ,0.159898175,0.037913861,0.934985075,0.911332756,-1.019303606,0.224509265,0.095287085,-1.249525522,0.040603195,0.014426319,0.115971595,0.629192457,0.852687477,0.045437433,0.016239853,0.006899214,0.055238138,0.52456703,0.786992531,0.020589584
PA4032,,PA4032,0.158357613,0.621863373,0.029262734,0.287452491,1.46613136,0.829135232,-0.05872303,-0.056741185,0.969735664,0.46836215,0.005359772,0.037228936,0.914824847,0.942521958,0.939782439,0.378191339,0.001352642,0.017542944,0.865535407,0.908116102
PA2493,mexE,mexE,0.15831604,0.529268412,-0.363323924,-0.128257735,-0.254779576,0.444889816,1.293624102,2.342862293,0.712604602,0.871302453,0.849226638,0.571748323,0.07182619,0.008926371,0.595057446,0.820688008,0.769639586,0.463479379,0.035270214,0.002680418
PA0048,,PA0048,0.158226987,0.52533478,0.177197345,0.667653967,-0.54569197,0.139256628,-0.07997387,0.944384813,0.792289274,0.126845676,0.485919267,0.807634536,0.897147724,0.139063976,0.693009783,0.081039298,0.357659776,0.731107271,0.843142517,0.080465765
PA0338,,PA0338,0.157975361,0.479857478,0.430823592,0.535734139,0.348778108,-0.032827387,-0.127026194,-0.046094413,0.235943886,0.052931565,0.462017786,0.93754821,0.718159256,0.936887518,0.135404793,0.029605633,0.334066914,0.899717361,0.625648042,0.900549831
PA4356,xenB,xenB,0.156777762,0.252289294,-0.833903956,1.630906922,-4.0348302,0.358038255,0.752270731,-0.044482731,0.387686466,0.020176092,0.003018147,0.679805579,0.349879074,0.981659403,0.259024636,0.010003064,0.000688591,0.578872704,0.245553952,0.961157916
PA2200,,PA2200,0.15661435,0.475684321,0.75402683,0.46995948,-0.286508862,0.155334406,0.157894294,0.150558812,0.017863534,0.078006327,0.549761582,0.637602222,0.629122395,0.751461014,0.006135299,0.045957747,0.424818151,0.53364777,0.526550492,0.666265539
PA3378,,PA3378,0.156564771,0.556607784,0.24859655,0.064532992,-0.740362273,-0.060469292,1.665205144,3.463469107,0.804065762,0.943380821,0.532721065,0.951423129,0.018077897,8.82E-05,0.708672912,0.908446922,0.404542655,0.919697893,0.006599162,6.14E-06
PA3154,wzy,wzy,0.155989838,0.051312241,0.539218305,0.908397401,-3.423489683,-0.227238629,0.891512734,-3.1019086,0.431705785,0.073782767,0.00025333,0.722731141,0.110385513,0.000910788,0.2995726,0.043111618,3.98E-05,0.628616275,0.059512864,0.000140982
PA1928,rimJ,rimJ,0.155589303,0.444705078,-0.156146827,-0.29729777,0.235978072,0.075200534,1.127077367,1.285298754,0.75797952,0.391741081,0.69675468,0.870416597,0.001261096,0.005754597,0.652357242,0.304909038,0.584501118,0.808478704,0.000285506,0.001569436
PA0923,dinB,dinB,0.155399169,0.077985594,0.593633293,1.153491351,-1.068100043,0.915920964,-0.282834955,-0.519262438,0.209632926,0.001261409,0.087807759,0.018551982,0.521042587,0.401712427,0.116736622,0.000471534,0.039234565,0.007924802,0.408952294,0.298147043
PA1222,,PA1222,0.155309179,0.283941933,0.390370955,0.361837908,-1.010395714,0.178752889,-0.000410178,0.131865469,0.226158344,0.147424681,0.01260634,0.549105755,1,0.766494306,0.127963233,0.096765235,0.003783229,0.439920633,0.998584735,0.684246533
PA1705,pcrG,pcrG,0.155043198,0.570065071,0.132517644,0.177568753,2.166090181,0.934302089,-0.371115755,-0.162853494,0.880418312,0.766237819,0.002427561,0.100176505,0.556181242,0.869266547,0.805788259,0.695907461,0.000531269,0.055397713,0.44422268,0.813278336
PA4398,,PA4398,0.153910775,0.435191076,0.086347847,0.221473704,-0.238803237,-0.459618177,0.988451541,1.513805722,0.911883817,0.667127679,0.794285158,0.388420427,0.050322941,0.019958201,0.857151583,0.583531827,0.698798087,0.286850326,0.022688598,0.007486737
PA5421,fdhA,fdhA,0.153551722,0.426890535,-0.398750691,0.253402623,-0.450883215,0.053700821,0.620008543,1.665179107,0.53300052,0.604929944,0.579686042,0.9356223,0.219800791,0.007784706,0.39699091,0.517555893,0.45679016,0.897527464,0.137867326,0.002267921
PA2014,liuB,liuB,0.153419569,0.07966984,1.139976717,1.563931263,-2.942249345,-0.505561011,-0.118132899,0.424972037,0.011231239,2.73E-05,1.37E-05,0.238819747,0.813282777,0.494742426,0.003591316,6.95E-06,1.46E-06,0.155748364,0.739395402,0.386121371
PA4949,,PA4949,0.153278212,0.416144842,0.181292185,0.508389442,0.125264239,0.615306706,-0.239825199,-0.358621314,0.706076691,0.116188489,0.847426916,0.077451208,0.536347041,0.516610533,0.587364605,0.073102094,0.766223845,0.041036363,0.424389201,0.407900483
PA0203,,PA0203,0.152975615,0.512124162,-0.893376441,-0.232809522,0.452913442,-0.146962212,2.092877184,3.578445941,0.474438891,0.820685915,0.782515206,0.905665712,0.031872988,0.002582225,0.338551866,0.75875279,0.685696459,0.856551864,0.012966231,0.000574633
PA3430,,PA3430,0.152191815,0.294217033,0.468712693,-1.881595783,-0.702847005,1.245976028,0.929238145,-0.164329064,0.629694187,0.003396262,0.571184068,0.091725367,0.224094178,0.902648386,0.499444616,0.001385804,0.447283838,0.049967627,0.141150229,0.854173411
PA3174,hutR,hutR,0.151756387,0.524333428,-0.126581271,-0.770931168,0.372074886,0.342026526,-0.038513752,0.823793873,0.884290604,0.130085901,0.687701384,0.581633541,0.962624289,0.29362391,0.813212138,0.08344401,0.57400979,0.474657066,0.935762713,0.202053238
PA1312,,PA1312,0.151661086,0.287454429,0.058504341,-0.47640213,0.073057371,0.230264801,0.39079609,0.962119221,0.908256722,0.109636127,0.91036916,0.521685153,0.252118369,0.02620361,0.851510602,0.06832822,0.853171518,0.411726594,0.163182265,0.010466728
PA3325,,PA3325,0.151640948,0.433059186,0.656642981,0.320743243,-0.337979302,-0.608969605,0.276301758,0.026980139,0.228671918,0.475471216,0.667562391,0.195050526,0.589311611,0.981659403,0.129706501,0.38484964,0.550522232,0.122206104,0.481268732,0.961105776
PA2647,nuoL,nuoL,0.151449791,0.587752036,-0.081396515,1.055406142,-0.635922277,-0.05641306,1.033022842,0.359312642,0.94821663,0.128696069,0.61572236,0.957973539,0.176278103,0.764600593,0.908470499,0.082371808,0.493831377,0.928887996,0.105711176,0.681672695
PA2555,,PA2555,0.151352637,0.515159258,1.56533765,1.885745322,0.351803923,-0.43677995,-0.076853846,-0.049098649,0.019001137,0.000781131,0.730773275,0.513511637,0.926289271,0.970000448,0.006602712,0.000275822,0.626845088,0.403473429,0.882908071,0.947096853
PA2614,lolA,lolA,0.150930612,0.3862906,0.315636525,0.398224724,-0.139116432,1.118172942,-0.013775301,-1.204949494,0.611031924,0.379446591,0.878656453,0.014440441,0.99126239,0.093530539,0.47937247,0.293208729,0.808166508,0.005955605,0.972647951,0.049342366
PA2615,ftsK,ftsK,0.150235825,0.154754146,0.665971475,1.015919329,-0.736963464,0.312292532,-0.011820881,-1.183988205,0.208264164,0.012249031,0.305222919,0.525108759,0.993004262,0.08268776,0.115864759,0.005740548,0.193643533,0.415442311,0.975383853,0.042533841
PA4232,ssb,ssb,0.149874317,0.24899026,0.017378282,0.251265227,1.547162897,1.282878815,0.048483408,-1.715507162,0.989347647,0.581079712,0.009127828,0.003494657,0.938568135,0.015239898,0.968164703,0.492663407,0.002559893,0.001190475,0.900974949,0.005317114
PA0481,,PA0481,0.14983333,0.514124236,0.18521182,-0.253061389,1.000288927,0.114454841,-0.152864856,0.531709002,0.728367446,0.504221233,0.059049438,0.806964106,0.735444167,0.337514268,0.614646331,0.413602142,0.024166951,0.730263834,0.644449408,0.239778476
PA4989,,PA4989,0.148993943,0.280859675,-0.430140077,-0.991532939,0.40970741,0.893366188,-0.111719523,0.524633382,0.413352361,0.00600634,0.530152565,0.027057828,0.823884471,0.382255567,0.282105239,0.002601553,0.401830821,0.012142307,0.752022312,0.279614111
